name,passmark,rank,value,price
GeForce4 460 Go --MobileForce M4 Stock--,5,1299,NA,NA
GeForce4 MX 4000,4,1320,NA,NA
GeForce4 MX 420,4,1318,NA,NA
GeForce4 MX 440,4,1327,NA,NA
GeForce4 MX 440 with AGP8X,4,1323,NA,NA
GeForce4 MX 440SE,4,1328,NA,NA
GeForce4 MX 460,5,1288,NA,NA
GeForce4 MX Integrated GPU,6,1280,NA,NA
GeForce4 Ti 4200,5,1287,NA,NA
GeForce4 Ti 4400,7,1267,NA,NA
GeForce4 Ti 4600,5,1296,0.09,$53.99*
GeForce4 Ti 4800 SE,6,1279,NA,NA
GeForce9400M,105,984,NA,NA
GF117,513,651,NA,NA
GIGABYTE RADEON 9600 PRO,43,1150,NA,NA
GRID K1,880,372,0.52,"$1,700.00"
GRID K140Q,727,465,NA,NA
GRID K180Q,776,427,NA,NA
GRID K2,3772,84,1.89,"$1,995.00"
GRID K220Q,912,356,NA,NA
GRID K240Q,1774,182,NA,NA
GRID K280Q,2438,138,NA,NA
GRID K520,4293,66,NA,NA
Intel - Express Chipset G41,68,1076,NA,NA
Intel - Express Chipset Q45/Q43,60,1102,NA,NA
Intel 82845G Controller,2,1360,NA,NA
Intel 82845G/GL Controller,2,1367,NA,NA
Intel 82845G/GL/GE/PE/GV Controller,2,1370,NA,NA
Intel 82865G Controller,4,1325,NA,NA
Intel 82915G Express,5,1301,NA,NA
Intel 82915G/GV/910GL Express,3,1341,NA,NA
Intel 82945G Express,6,1278,NA,NA
Intel 865 Embedded Controller,3,1355,NA,NA
Intel 946GZ Express,7,1266,NA,NA
Intel B43 Express Chipset,63,1094,NA,NA
Intel G33/G31 Express,11,1259,NA,NA
Intel G35 Express,30,1199,NA,NA
Intel G41 Express Chipset,63,1091,NA,NA
Intel G41 Express-Chipsatz,58,1108,NA,NA
Intel G45/G43 Express Chipset,70,1073,NA,NA
Intel G965 Express,17,1244,NA,NA
Intel Haswell HD - GT1,115,963,NA,NA
Intel Haswell HD - GT2,157,906,NA,NA
Intel HD 3000,312,774,0.33,$945.00*
Intel HD 4000,451,690,0.28,"$1,592.95*"
Intel HD 4400,548,620,NA,NA
Intel HD 4600,704,488,NA,NA
Intel HD 5000,590,583,NA,NA
Intel HD 510,599,579,NA,NA
Intel HD 515,579,590,NA,NA
Intel HD 520,763,439,NA,NA
Intel HD 5200,777,426,NA,NA
Intel HD 530,978,330,NA,NA
Intel HD 5300,393,722,NA,NA
Intel HD 5500,558,608,NA,NA
Intel HD 5600,640,543,NA,NA
Intel HD 6000,804,408,NA,NA
Intel HD Family,413,707,NA,NA
Intel HD Modded,119,954,NA,NA
Intel HD P3000,336,758,NA,NA
Intel HD P4000,414,705,NA,NA
Intel HD P4600,604,573,NA,NA
Intel HD P4600/P4700,644,539,NA,NA
Intel HD P530,961,335,NA,NA
Intel Iris 5100,719,476,NA,NA
Intel Iris 540,1346,235,NA,NA
Intel Iris 550,1634,197,NA,NA
Intel Iris 6100,946,343,NA,NA
Intel Iris Pro 5200,1184,270,NA,NA
Intel Iris Pro 580,1933,168,NA,NA
Intel Iris Pro 6200,1525,210,NA,NA
